venue,year,title,authors,tags,primary_area,source,forum_id,paper_page,keep_reason,hit_terms
ICML,2018,AutoPrognosis: Automated Clinical Prognostic Modeling via Bayesian Optimization with Structured Kernel Learning,Ahmed Alaa; Mihaela Schaar,clinical,,pmlr,,https://proceedings.mlr.press/v80/alaa18b.html,text_high_spec_focused,"clinical,prognostic,healthcare"
ICML,2019,A Multitask Multiple Kernel Learning Algorithm for Survival Analysis with Application to Cancer Biology,Onur Dereli; Ceyda Oğuz; Mehmet Gönen,"oncology,genomics,clinical",,pmlr,,https://proceedings.mlr.press/v97/dereli19a.html,title_strong_bio,"gene expression,gene,survival analysis,patients,cancer"
ICML,2018,Junction Tree Variational Autoencoder for Molecular Graph Generation,Wengong Jin; Regina Barzilay; Tommi Jaakkola,molecule,,pmlr,,https://proceedings.mlr.press/v80/jin18a.html,text_specialized,"molecules,smiles,molecule"
ICML,2018,MAGAN: Aligning Biological Manifolds,Matthew Amodio; Smita Krishnaswamy,"genomics,single_cell",,pmlr,,https://proceedings.mlr.press/v80/amodio18a.html,title_strong_bio,"single-cell,genomic,rna"
ICML,2018,Robust and Scalable Models of Microbiome Dynamics,Travis Gibson; Georg Gerber,clinical,,pmlr,,https://proceedings.mlr.press/v80/gibson18a.html,title_strong_bio,"drugs,diseases,patients,microbiome,microbial"
ICML,2020,Population-Based Black-Box Optimization for Biological Sequence Design,Christof Angermueller; David Belanger; Andreea Gane; Zelda Mariet; David Dohan; Kevin Murphy; Lucy Colwell; D Sculley,,,pmlr,,https://proceedings.mlr.press/v119/angermueller20a.html,title_strong_bio,
ICML,2019,Molecular Hypergraph Grammar with Its Application to Molecular Optimization,Hiroshi Kajino,molecule,,pmlr,,https://proceedings.mlr.press/v97/kajino19a.html,text_specialized,"molecules,molecule"
ICML,2020,Student-Teacher Curriculum Learning via Reinforcement Learning: Predicting Hospital Inpatient Admission Location,Rasheed El-Bouri; David Eyre; Peter Watkinson; Tingting Zhu; David Clifton,clinical,,pmlr,,https://proceedings.mlr.press/v119/el-bouri20a.html,text_specialized,"hospital,clinical,patients"
ICML,2020,On Validation and Planning of An Optimal Decision Rule with Application in Healthcare Studies,Hengrui Cai; Wenbin Lu; Rui Song,clinical,,pmlr,,https://proceedings.mlr.press/v119/cai20b.html,text_specialized,"healthcare,clinical"
ICML,2020,Learning to Navigate The Synthetically Accessible Chemical Space Using Reinforcement Learning,Sai Krishna Gottipati; Boris Sattarov; Sufeng Niu; Yashaswi Pathak; Haoran Wei; Shengchao Liu; Shengchao Liu; Simon Blackburn; Karam Thomas; Connor Coley; Jian Tang; Sarath Chandar; Yoshua Bengio,molecule,,pmlr,,https://proceedings.mlr.press/v119/gottipati20a.html,text_specialized,"drug,molecules"
ICML,2020,Hierarchical Generation of Molecular Graphs using Structural Motifs,Wengong Jin; Dr.Regina Barzilay; Tommi Jaakkola,molecule,,pmlr,,https://proceedings.mlr.press/v119/jin20a.html,text_specialized,"drug,molecules,molecule"
ICML,2020,Multi-Objective Molecule Generation using Interpretable Substructures,Wengong Jin; Dr.Regina Barzilay; Tommi Jaakkola,molecule,,pmlr,,https://proceedings.mlr.press/v119/jin20b.html,text_high_spec_focused,"molecule,drug,molecules"
ICML,2020,Temporal Phenotyping using Deep Predictive Clustering of Disease Progression,Changhee Lee; Mihaela Van Der Schaar,clinical,,pmlr,,https://proceedings.mlr.press/v119/lee20h.html,text_specialized,"disease,electronic health,patient"
ICML,2020,FACT: A Diagnostic for Group Fairness Trade-offs,Joon Sik Kim; Jiahao Chen; Ameet Talwalkar,clinical,,pmlr,,https://proceedings.mlr.press/v119/kim20a.html,text_specialized,diagnostic
ICML,2020,On Convergence-Diagnostic based Step Sizes for Stochastic Gradient Descent,Scott Pesme; Aymeric Dieuleveut; Nicolas Flammarion,clinical,,pmlr,,https://proceedings.mlr.press/v119/pesme20a.html,text_specialized,diagnostic
ICML,2020,Learning for Dose Allocation in Adaptive Clinical Trials with Safety Constraints,Cong Shen; Zhiyang Wang; Sofia Villar; Mihaela Van Der Schaar,clinical,,pmlr,,https://proceedings.mlr.press/v119/shen20d.html,text_high_spec_focused,"clinical,patients"
ICML,2020,Reinforcement Learning for Molecular Design Guided by Quantum Mechanics,Gregor Simm; Robert Pinsler; Jose Miguel Hernandez-Lobato,molecule,,pmlr,,https://proceedings.mlr.press/v119/simm20b.html,text_specialized,molecules
ICML,2020,Deep Molecular Programming: A Natural Implementation of Binary-Weight ReLU Neural Networks,Marko Vasic; Cameron Chalk; Sarfraz Khurshid; David Soloveichik,"immuno,genomics",,pmlr,,https://proceedings.mlr.press/v119/vasic20a.html,text_multi_group,"gene expression,gene,virus"
ICML,2020,"Graph-based, Self-Supervised Program Repair from Diagnostic Feedback",Michihiro Yasunaga; Percy Liang,clinical,,pmlr,,https://proceedings.mlr.press/v119/yasunaga20a.html,text_specialized,diagnostic
ICML,2021,Learning Queueing Policies for Organ Transplantation Allocation using Interpretable Counterfactual Survival Analysis,Jeroen Berrevoets; Ahmed Alaa; Zhaozhi Qian; James Jordon; Alexander E. S. Gimson; Mihaela van der Schaar,clinical,,pmlr,,https://proceedings.mlr.press/v139/berrevoets21a.html,text_specialized,"survival analysis,patients,patient"
ICML,2021,Fold2Seq: A Joint Sequence(1D)-Fold(3D) Embedding-based Generative Model for Protein Design,Yue Cao; Payel Das; Vijil Chenthamarakshan; Pin-Yu Chen; Igor Melnyk; Yang Shen,protein,,pmlr,,https://proceedings.mlr.press/v139/cao21a.html,text_high_spec_focused,protein
ICML,2021,Data augmentation for deep learning based accelerated MRI reconstruction with limited data,Zalan Fabian; Reinhard Heckel; Mahdi Soltanolkotabi,medical_imaging,,pmlr,,https://proceedings.mlr.press/v139/fabian21a.html,text_high_spec_focused,mri
ICML,2021,Neural Pharmacodynamic State Space Modeling,Zeshan M Hussain; Rahul G. Krishnan; David Sontag,"oncology,molecule,clinical",,pmlr,,https://proceedings.mlr.press/v139/hussain21a.html,text_specialized,"patient,disease,clinical,cancer"
ICML,2021,Disentangling syntax and semantics in the brain with deep networks,Charlotte Caucheteux; Alexandre Gramfort; Jean-Remi King,neuro,,pmlr,,https://proceedings.mlr.press/v139/caucheteux21a.html,text_high_spec_focused,"brain,fmri,cortical"
ICML,2021,"CLOCS: Contrastive Learning of Cardiac Signals Across Space, Time, and Patients",Dani Kiyasseh; Tingting Zhu; David A Clifton,clinical,,pmlr,,https://proceedings.mlr.press/v139/kiyasseh21a.html,text_specialized,"patients,healthcare,patient"
ICML,2021,SagaNet: A Small Sample Gated Network for Pediatric Cancer Diagnosis,Yuhan Liu; Shiliang Sun,"oncology,clinical",,pmlr,,https://proceedings.mlr.press/v139/liu21u.html,text_strong_hit,"diagnosis,cancer,tumor"
ICML,2021,Efficient Generative Modelling of Protein Structure Fragments using a Deep Markov Model,Christian B Thygesen; Christian Skjødt Steenmans; Ahmad Salim Al-Sibahi; Lys Sanz Moreta; Anders Bundgård Sørensen; Thomas Hamelryck,"protein,md_structbio",,pmlr,,https://proceedings.mlr.press/v139/thygesen21a.html,text_high_spec_focused,"protein,proteins"
ICML,2021,A Structured Observation Distribution for Generative Biological Sequence Prediction and Forecasting,Eli N Weinstein; Debora Marks,protein,,pmlr,,https://proceedings.mlr.press/v139/weinstein21a.html,title_strong_bio,"protein,pathogen"
ICML,2021,Neighborhood Contrastive Learning Applied to Online Patient Monitoring,Hugo Yèche; Gideon Dresdner; Francesco Locatello; Matthias Hüser; Gunnar Rätsch,clinical,,pmlr,,https://proceedings.mlr.press/v139/yeche21a.html,text_high_spec_focused,"patient,icu,patients"
